0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
192,25,2,4,0,0,192,63,192,255,240,13,4,128,239,31,30,224,7,248,0,15,0,0,0,0,0,0,2,0,128,223,255,255,7,0,200,79,254,253,251,3,252,127,240,192,1,96,0,8,0,0,128,255,254,253,255,255,253,255,0
1,22,46,0,128,0,96,129,224,7,255,12,4,0,238,255,30,160,7,240,0,15,112,128,1,2,0,12,0,0,192,254,31,0,0,0,255,191,1,6,12,12,4,128,255,202,3,64,0,8,0,0,0,0,224,193,195,251,255,255,63
33,18,12,4,128,1,64,59,224,15,112,14,4,0,238,143,31,224,7,248,0,15,112,128,1,2,0,12,2,0,0,0,160,191,7,0,255,127,1,5,10,8,228,1,255,247,7,96,0,0,0,0,16,0,0,194,195,227,253,255,26
160,247,3,0,0,0,56,186,253,239,254,3,196,176,255,7,0,0,0,0,0,15,16,0,0,0,0,28,2,0,127,228,30,176,119,255,247,159,123,236,221,255,239,123,240,11,0,0,0,0,112,128,255,255,255,255,227,243,255,255,0
160,22,2,0,128,17,152,255,63,0,240,141,7,0,255,7,0,0,0,32,0,15,48,0,0,0,0,28,6,0,79,127,223,223,255,255,48,128,1,7,238,15,0,128,15,245,1,126,0,0,0,0,112,120,224,195,195,227,255,255,52
224,249,3,0,0,17,120,187,252,7,126,128,199,241,255,39,0,32,0,0,0,0,0,0,1,2,0,16,132,0,126,186,158,46,208,245,221,175,130,255,1,20,8,126,240,33,0,126,128,15,240,0,79,123,237,255,195,239,123,255,0
224,18,0,4,128,17,216,191,226,7,129,140,199,241,239,39,0,96,0,0,0,0,0,0,1,2,0,28,6,0,207,127,255,223,39,11,183,159,5,20,236,239,23,128,15,195,1,126,128,15,240,0,123,248,225,195,195,227,121,255,48
0,238,7,0,0,0,64,58,224,239,240,131,195,241,255,191,0,32,0,0,0,0,0,0,0,0,0,0,0,0,64,138,0,0,80,245,253,15,130,255,17,212,11,126,240,95,0,30,128,15,240,0,143,127,254,255,255,255,255,255,31
1,232,15,4,128,0,136,255,31,0,1,142,195,113,254,247,1,64,0,8,0,0,112,0,0,0,0,4,0,0,64,255,95,0,248,255,0,16,0,0,230,39,16,254,15,231,1,30,128,15,240,0,159,127,254,253,255,243,255,255,60
0,238,7,0,0,0,24,193,255,7,128,141,199,113,238,231,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,10,128,2,248,255,253,15,128,255,1,244,27,254,0,229,1,30,128,7,240,0,143,127,254,253,255,255,255,255,32
225,249,9,4,128,17,96,63,224,23,15,128,199,241,238,159,1,96,0,8,0,0,112,128,1,2,0,28,132,0,128,216,63,246,199,0,236,255,255,255,1,0,252,135,0,24,1,126,128,15,240,0,255,127,255,255,255,227,123,255,30
224,249,3,0,0,17,200,255,29,0,254,132,195,241,255,39,0,0,0,0,0,0,0,0,0,2,0,24,134,0,192,187,127,174,199,245,92,239,254,255,1,16,8,126,240,224,0,62,128,7,240,0,207,127,255,255,255,239,123,255,52
192,237,3,0,0,17,8,0,223,255,112,139,199,241,255,231,0,0,0,0,0,0,64,0,1,2,0,0,132,0,0,8,0,226,79,253,196,175,255,255,1,252,251,127,0,53,0,94,128,15,240,0,207,127,255,255,255,255,123,255,24
192,233,11,4,0,16,216,63,0,248,112,130,199,241,238,39,1,64,0,24,0,0,0,0,1,2,0,0,0,0,128,153,224,254,71,0,12,224,255,255,1,0,252,127,240,37,0,94,130,111,254,0,191,255,224,193,255,255,255,255,24
192,237,3,0,0,0,192,58,64,255,112,140,199,241,239,63,0,32,0,0,0,0,0,128,0,0,0,0,0,0,192,205,31,131,103,240,230,255,255,0,0,248,255,255,255,128,1,126,128,7,240,0,143,255,254,253,255,255,253,255,7
160,23,0,0,128,17,184,253,191,23,143,143,199,241,255,7,0,0,0,0,0,0,16,0,0,2,0,28,134,0,62,114,255,253,191,251,185,207,5,247,255,47,16,132,15,245,1,126,128,7,240,0,127,120,225,195,195,227,127,255,0
192,249,3,4,0,17,128,64,31,248,112,130,199,241,239,103,1,0,0,8,0,0,0,0,1,2,0,0,128,0,128,137,224,254,79,0,4,224,255,255,1,208,255,127,240,0,0,30,128,15,240,0,239,255,255,253,255,255,121,255,0
0,232,15,0,0,0,0,193,62,0,255,140,195,113,254,207,1,64,0,8,0,0,48,0,0,0,0,0,128,0,64,189,64,1,248,255,2,240,127,0,0,16,8,126,0,192,1,30,128,7,240,0,143,127,254,255,255,255,127,255,0
33,6,14,0,128,0,64,1,224,7,254,15,4,0,238,223,31,224,7,240,0,15,112,0,0,0,0,28,2,0,64,2,0,0,248,255,255,15,0,4,204,223,231,1,255,192,1,0,0,8,0,0,176,127,254,253,255,243,253,255,0
192,31,2,0,0,16,192,255,31,0,240,141,3,0,238,63,30,128,7,248,0,15,112,0,1,2,0,0,128,0,128,255,255,255,255,255,0,32,128,251,1,212,3,126,240,199,1,126,0,0,0,0,128,127,254,255,255,255,127,255,7
1,246,13,0,128,1,0,128,224,7,112,140,199,1,238,255,29,0,2,224,0,14,112,128,1,0,0,28,0,0,0,0,128,171,247,255,255,15,0,2,4,252,3,122,240,192,1,126,128,15,0,0,128,120,254,253,255,227,255,255,31
33,162,108,0,128,1,24,0,97,15,240,152,207,1,238,231,221,97,6,192,0,12,112,135,1,0,0,156,6,0,75,76,0,1,112,243,63,63,1,0,8,204,7,128,255,33,35,254,155,95,241,0,128,248,226,197,207,35,249,255,48
